id,milestone_id,profile_id,archetype_id,target_power,power_band,level,spell_ids,passive_id,pet_id
bot_free_100_rewards_5h_p12,5h,free_100_rewards,funeral_burst,1232,band_004,13,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_100_rewards_10h_m12,10h,free_100_rewards,elemental_mixer,1902,band_004,17,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_100_rewards_10h_p0,10h,free_100_rewards,elemental_mixer,2161,band_004,17,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_100_rewards_10h_p12,10h,free_100_rewards,funeral_burst,2420,band_005,17,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_free_100_rewards_15h_m12,15h,free_100_rewards,elemental_mixer,2328,band_005,20,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_100_rewards_15h_p0,15h,free_100_rewards,elemental_mixer,2646,band_005,20,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_100_rewards_15h_p12,15h,free_100_rewards,funeral_burst,2964,band_005,20,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_free_100_rewards_20h_m12,20h,free_100_rewards,dot_pressure,3546,band_005,26,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina
bot_free_100_rewards_20h_p0,20h,free_100_rewards,dot_pressure,4029,band_005,26,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina
bot_free_100_rewards_20h_p12,20h,free_100_rewards,funeral_burst,4512,band_005,26,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante
bot_freemium_basic_2h_m12,2h,freemium_basic,funeral_burst,646,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_freemium_basic_2h_p0,2h,freemium_basic,funeral_burst,734,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_freemium_basic_2h_p12,2h,freemium_basic,funeral_burst,822,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_freemium_basic_5h_m12,5h,freemium_basic,funeral_burst,1020,band_003,13,descarga_nervosa|marca_brasa,ossuario_interior,
bot_freemium_basic_5h_p0,5h,freemium_basic,funeral_burst,1159,band_003,13,descarga_nervosa|marca_brasa,ossuario_interior,
bot_freemium_basic_5h_p12,5h,freemium_basic,funeral_burst,1298,band_004,13,descarga_nervosa|marca_brasa,ossuario_interior,
bot_freemium_basic_10h_m12,10h,freemium_basic,familiar_handler,1947,band_004,17,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_freemium_basic_10h_p0,10h,freemium_basic,familiar_handler,2213,band_005,17,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_freemium_basic_10h_p12,10h,freemium_basic,funeral_burst,2479,band_005,17,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_freemium_basic_15h_m12,15h,freemium_basic,familiar_handler,2375,band_005,19,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_freemium_basic_15h_p0,15h,freemium_basic,familiar_handler,2699,band_005,19,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_freemium_basic_15h_p12,15h,freemium_basic,funeral_burst,3023,band_005,19,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_freemium_basic_20h_m12,20h,freemium_basic,dot_pressure,3538,band_005,25,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina
bot_freemium_basic_20h_p0,20h,freemium_basic,dot_pressure,4021,band_005,25,toxina_palida|marca_brasa|hemorragia_induzida,alquimia_toxica,serpente_toxina
bot_freemium_basic_20h_p12,20h,freemium_basic,funeral_burst,4504,band_005,25,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante
bot_spender_light_2h_m12,2h,spender_light,funeral_burst,726,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_spender_light_2h_p0,2h,spender_light,funeral_burst,825,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_spender_light_2h_p12,2h,spender_light,funeral_burst,924,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_spender_light_5h_m12,5h,spender_light,funeral_burst,1228,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_spender_light_5h_p0,5h,spender_light,funeral_burst,1395,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_spender_light_5h_p12,5h,spender_light,funeral_burst,1562,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_spender_light_10h_m12,10h,spender_light,familiar_handler,2268,band_005,18,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_spender_light_10h_p0,10h,spender_light,familiar_handler,2577,band_005,18,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_spender_light_10h_p12,10h,spender_light,funeral_burst,2886,band_005,18,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_spender_light_15h_m12,15h,spender_light,familiar_handler,2679,band_005,20,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_spender_light_15h_p0,15h,spender_light,familiar_handler,3044,band_005,20,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_spender_light_15h_p12,15h,spender_light,funeral_burst,3409,band_005,20,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_spender_light_20h_m12,20h,spender_light,funeral_burst,3858,band_005,27,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante
bot_spender_light_20h_p0,20h,spender_light,funeral_burst,4384,band_005,27,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante
bot_spender_light_20h_p12,20h,spender_light,funeral_burst,4910,band_005,27,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante
bot_max_spender_2h_m12,2h,max_spender,funeral_burst,778,band_003,11,descarga_nervosa|marca_brasa,ossuario_interior,
bot_max_spender_2h_p0,2h,max_spender,funeral_burst,884,band_003,11,descarga_nervosa|marca_brasa,ossuario_interior,
bot_max_spender_2h_p12,2h,max_spender,funeral_burst,990,band_003,11,descarga_nervosa|marca_brasa,ossuario_interior,
bot_max_spender_5h_m12,5h,max_spender,funeral_burst,1272,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_max_spender_5h_p0,5h,max_spender,funeral_burst,1445,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_max_spender_5h_p12,5h,max_spender,funeral_burst,1618,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_max_spender_10h_m12,10h,max_spender,familiar_handler,2413,band_005,18,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_max_spender_10h_p0,10h,max_spender,familiar_handler,2742,band_005,18,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_max_spender_10h_p12,10h,max_spender,funeral_burst,3071,band_005,18,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_max_spender_15h_m12,15h,max_spender,familiar_handler,2822,band_005,21,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_max_spender_15h_p0,15h,max_spender,familiar_handler,3207,band_005,21,sussurro_medo|marca_brasa,pacto_familiar,corvo_pressagio
bot_max_spender_15h_p12,15h,max_spender,funeral_burst,3592,band_005,21,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_max_spender_20h_m12,20h,max_spender,summoner,3993,band_005,27,sussurro_medo|erguer_ossos|invocar_brasa_faminta,ossuario_interior,cranio_errante
bot_max_spender_20h_p0,20h,max_spender,summoner,4537,band_005,27,sussurro_medo|erguer_ossos|invocar_brasa_faminta,ossuario_interior,cranio_errante
bot_max_spender_20h_p12,20h,max_spender,funeral_burst,5081,band_005,27,descarga_nervosa|marca_brasa|incisao_ritual,ossuario_interior,cranio_errante
