category,milestone_id,player,opponent,total,wins,win_rate_percent,avg_duration,status
profile_vs_profile,2h,profile:free_100_rewards:2h,profile:spender_light:2h,1,0,0,28.7,REVIEW
profile_vs_profile,2h,profile:spender_light:2h,profile:free_100_rewards:2h,1,1,100,28.7,REVIEW
profile_vs_bot,2h,profile:free_100_rewards:2h,bot:free_100_rewards:2h,3,2,66.67,31.37,REVIEW
profile_vs_bot,2h,bot:free_100_rewards:2h,profile:free_100_rewards:2h,3,2,66.67,31.37,REVIEW
profile_vs_bot,2h,profile:free_100_rewards:2h,bot:freemium_basic:2h,3,1,33.33,30.53,REVIEW
profile_vs_bot,2h,bot:freemium_basic:2h,profile:free_100_rewards:2h,3,3,100,30.53,REVIEW
profile_vs_bot,2h,profile:free_100_rewards:2h,bot:spender_light:2h,3,0,0,29.2,REVIEW
profile_vs_bot,2h,bot:spender_light:2h,profile:free_100_rewards:2h,3,3,100,29.2,REVIEW
profile_vs_profile,2h,profile:freemium_basic:2h,profile:spender_light:2h,1,0,0,28.7,REVIEW
profile_vs_profile,2h,profile:spender_light:2h,profile:freemium_basic:2h,1,1,100,28.7,REVIEW
profile_vs_bot,2h,profile:freemium_basic:2h,bot:free_100_rewards:2h,3,3,100,30.7,REVIEW
profile_vs_bot,2h,bot:free_100_rewards:2h,profile:freemium_basic:2h,3,1,33.33,30.7,REVIEW
profile_vs_bot,2h,profile:freemium_basic:2h,bot:freemium_basic:2h,3,2,66.67,30.2,REVIEW
profile_vs_bot,2h,bot:freemium_basic:2h,profile:freemium_basic:2h,3,2,66.67,30.2,REVIEW
profile_vs_bot,2h,profile:freemium_basic:2h,bot:spender_light:2h,3,1,33.33,29.2,REVIEW
profile_vs_bot,2h,bot:spender_light:2h,profile:freemium_basic:2h,3,3,100,29.2,REVIEW
profile_vs_bot,2h,profile:spender_light:2h,bot:free_100_rewards:2h,3,3,100,28.7,REVIEW
profile_vs_bot,2h,bot:free_100_rewards:2h,profile:spender_light:2h,3,0,0,28.7,REVIEW
profile_vs_bot,2h,profile:spender_light:2h,bot:freemium_basic:2h,3,3,100,28.7,REVIEW
profile_vs_bot,2h,bot:freemium_basic:2h,profile:spender_light:2h,3,0,0,28.7,REVIEW
profile_vs_bot,2h,profile:spender_light:2h,bot:spender_light:2h,3,2,66.67,28.37,REVIEW
profile_vs_bot,2h,bot:spender_light:2h,profile:spender_light:2h,3,1,33.33,28.37,REVIEW
profile_vs_profile,5h,profile:free_50_rewards:5h,profile:max_spender:2h,1,0,0,35.2,REVIEW
profile_vs_profile,2h,profile:max_spender:2h,profile:free_50_rewards:5h,1,1,100,35.2,REVIEW
profile_vs_bot,5h,profile:free_50_rewards:5h,bot:free_50_rewards:5h,3,0,0,36.2,REVIEW
profile_vs_bot,5h,bot:free_50_rewards:5h,profile:free_50_rewards:5h,3,0,0,36.2,REVIEW
profile_vs_bot,5h,profile:free_50_rewards:5h,bot:max_spender:2h,3,0,0,34.2,REVIEW
profile_vs_bot,2h,bot:max_spender:2h,profile:free_50_rewards:5h,3,3,100,34.37,REVIEW
profile_vs_bot,2h,profile:max_spender:2h,bot:free_50_rewards:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:free_50_rewards:5h,profile:max_spender:2h,3,0,0,29.2,REVIEW
profile_vs_bot,2h,profile:max_spender:2h,bot:max_spender:2h,3,2,66.67,28.53,REVIEW
profile_vs_bot,2h,bot:max_spender:2h,profile:max_spender:2h,3,3,100,28.53,REVIEW
profile_vs_profile,5h,profile:free_100_rewards:5h,profile:freemium_basic:5h,1,0,0,35.2,REVIEW
profile_vs_profile,5h,profile:freemium_basic:5h,profile:free_100_rewards:5h,1,1,100,35.2,REVIEW
profile_vs_bot,5h,profile:free_100_rewards:5h,bot:free_100_rewards:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:free_100_rewards:5h,profile:free_100_rewards:5h,3,0,0,29.2,REVIEW
profile_vs_bot,5h,profile:free_100_rewards:5h,bot:freemium_basic:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:freemium_basic:5h,profile:free_100_rewards:5h,3,0,0,29.2,REVIEW
profile_vs_bot,5h,profile:freemium_basic:5h,bot:free_100_rewards:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:free_100_rewards:5h,profile:freemium_basic:5h,3,0,0,29.2,REVIEW
profile_vs_bot,5h,profile:freemium_basic:5h,bot:freemium_basic:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:freemium_basic:5h,profile:freemium_basic:5h,3,0,0,29.2,REVIEW
profile_vs_profile,10h,profile:free_50_rewards:10h,profile:spender_light:5h,1,0,0,35.2,REVIEW
profile_vs_profile,5h,profile:spender_light:5h,profile:free_50_rewards:10h,1,1,100,35.2,REVIEW
profile_vs_profile,10h,profile:free_50_rewards:10h,profile:max_spender:5h,1,0,0,33.7,REVIEW
profile_vs_profile,5h,profile:max_spender:5h,profile:free_50_rewards:10h,1,1,100,32.2,REVIEW
profile_vs_bot,10h,profile:free_50_rewards:10h,bot:free_50_rewards:10h,3,3,100,34.7,REVIEW
profile_vs_bot,10h,bot:free_50_rewards:10h,profile:free_50_rewards:10h,3,0,0,34.7,REVIEW
profile_vs_bot,10h,profile:free_50_rewards:10h,bot:spender_light:5h,3,2,66.67,34.37,REVIEW
profile_vs_bot,5h,bot:spender_light:5h,profile:free_50_rewards:10h,3,1,33.33,34.37,REVIEW
profile_vs_bot,10h,profile:free_50_rewards:10h,bot:max_spender:5h,3,0,0,32.87,REVIEW
profile_vs_bot,5h,bot:max_spender:5h,profile:free_50_rewards:10h,3,3,100,32.2,REVIEW
profile_vs_profile,5h,profile:spender_light:5h,profile:max_spender:5h,1,0,0,33.7,REVIEW
profile_vs_profile,5h,profile:max_spender:5h,profile:spender_light:5h,1,1,100,32.7,REVIEW
profile_vs_bot,5h,profile:spender_light:5h,bot:free_50_rewards:10h,3,3,100,29.2,REVIEW
profile_vs_bot,10h,bot:free_50_rewards:10h,profile:spender_light:5h,3,0,0,29.2,REVIEW
profile_vs_bot,5h,profile:spender_light:5h,bot:spender_light:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:spender_light:5h,profile:spender_light:5h,3,0,0,29.2,REVIEW
profile_vs_bot,5h,profile:spender_light:5h,bot:max_spender:5h,3,3,100,29.2,REVIEW
profile_vs_bot,5h,bot:max_spender:5h,profile:spender_light:5h,3,0,0,29.2,REVIEW
profile_vs_bot,5h,profile:max_spender:5h,bot:free_50_rewards:10h,3,3,100,27.7,REVIEW
profile_vs_bot,10h,bot:free_50_rewards:10h,profile:max_spender:5h,3,0,0,27.7,REVIEW
profile_vs_bot,5h,profile:max_spender:5h,bot:spender_light:5h,3,3,100,27.7,REVIEW
profile_vs_bot,5h,bot:spender_light:5h,profile:max_spender:5h,3,0,0,27.7,REVIEW
profile_vs_bot,5h,profile:max_spender:5h,bot:max_spender:5h,3,3,100,27.7,REVIEW
profile_vs_bot,5h,bot:max_spender:5h,profile:max_spender:5h,3,0,0,27.7,REVIEW
profile_vs_bot,15h,profile:free_50_rewards:15h,bot:free_50_rewards:15h,3,3,100,24.2,REVIEW
profile_vs_bot,15h,bot:free_50_rewards:15h,profile:free_50_rewards:15h,3,0,0,24.2,REVIEW
profile_vs_profile,10h,profile:free_100_rewards:10h,profile:freemium_basic:10h,1,0,0,28.7,REVIEW
profile_vs_profile,10h,profile:freemium_basic:10h,profile:free_100_rewards:10h,1,1,100,28.7,REVIEW
profile_vs_bot,10h,profile:free_100_rewards:10h,bot:free_100_rewards:10h,3,3,100,24.2,REVIEW
profile_vs_bot,10h,bot:free_100_rewards:10h,profile:free_100_rewards:10h,3,0,0,24.2,REVIEW
profile_vs_bot,10h,profile:free_100_rewards:10h,bot:freemium_basic:10h,3,3,100,25.87,REVIEW
profile_vs_bot,10h,bot:freemium_basic:10h,profile:free_100_rewards:10h,3,0,0,25.87,REVIEW
profile_vs_bot,10h,profile:freemium_basic:10h,bot:free_100_rewards:10h,3,3,100,23.7,REVIEW
profile_vs_bot,10h,bot:free_100_rewards:10h,profile:freemium_basic:10h,3,0,0,23.7,REVIEW
profile_vs_bot,10h,profile:freemium_basic:10h,bot:freemium_basic:10h,3,3,100,23.37,REVIEW
profile_vs_bot,10h,bot:freemium_basic:10h,profile:freemium_basic:10h,3,0,0,23.7,REVIEW
profile_vs_profile,10h,profile:spender_light:10h,profile:max_spender:10h,1,0,0,27.2,REVIEW
profile_vs_profile,10h,profile:max_spender:10h,profile:spender_light:10h,1,1,100,27.2,REVIEW
profile_vs_bot,10h,profile:spender_light:10h,bot:spender_light:10h,3,3,100,22.37,REVIEW
profile_vs_bot,10h,bot:spender_light:10h,profile:spender_light:10h,3,0,0,22.37,REVIEW
profile_vs_bot,10h,profile:spender_light:10h,bot:max_spender:10h,3,3,100,22.37,REVIEW
profile_vs_bot,10h,bot:max_spender:10h,profile:spender_light:10h,3,0,0,22.37,REVIEW
profile_vs_bot,10h,profile:max_spender:10h,bot:spender_light:10h,3,3,100,21.2,REVIEW
profile_vs_bot,10h,bot:spender_light:10h,profile:max_spender:10h,3,0,0,21.87,REVIEW
profile_vs_bot,10h,profile:max_spender:10h,bot:max_spender:10h,3,3,100,21.2,REVIEW
profile_vs_bot,10h,bot:max_spender:10h,profile:max_spender:10h,3,0,0,21.87,REVIEW
profile_vs_bot,15h,profile:freemium_basic:15h,bot:freemium_basic:15h,3,3,100,23.37,REVIEW
profile_vs_bot,15h,bot:freemium_basic:15h,profile:freemium_basic:15h,3,0,0,23.37,REVIEW
profile_vs_profile,20h,profile:free_50_rewards:20h,profile:free_100_rewards:15h,1,0,0,30.2,REVIEW
profile_vs_profile,15h,profile:free_100_rewards:15h,profile:free_50_rewards:20h,1,1,100,30.2,REVIEW
profile_vs_profile,20h,profile:free_50_rewards:20h,profile:spender_light:15h,1,0,0,28.7,REVIEW
profile_vs_profile,15h,profile:spender_light:15h,profile:free_50_rewards:20h,1,1,100,28.7,REVIEW
profile_vs_bot,20h,profile:free_50_rewards:20h,bot:free_50_rewards:20h,3,3,100,26.2,REVIEW
profile_vs_bot,20h,bot:free_50_rewards:20h,profile:free_50_rewards:20h,3,0,0,26.2,REVIEW
profile_vs_bot,20h,profile:free_50_rewards:20h,bot:free_100_rewards:15h,3,3,100,26.2,REVIEW
profile_vs_bot,15h,bot:free_100_rewards:15h,profile:free_50_rewards:20h,3,0,0,26.2,REVIEW
profile_vs_bot,20h,profile:free_50_rewards:20h,bot:spender_light:15h,3,3,100,27.53,REVIEW
profile_vs_bot,15h,bot:spender_light:15h,profile:free_50_rewards:20h,3,1,33.33,27.53,REVIEW
profile_vs_profile,15h,profile:free_100_rewards:15h,profile:spender_light:15h,1,0,0,28.7,REVIEW
profile_vs_profile,15h,profile:spender_light:15h,profile:free_100_rewards:15h,1,1,100,28.7,REVIEW
profile_vs_bot,15h,profile:free_100_rewards:15h,bot:free_50_rewards:20h,3,3,100,25.87,REVIEW
profile_vs_bot,20h,bot:free_50_rewards:20h,profile:free_100_rewards:15h,3,0,0,25.87,REVIEW
profile_vs_bot,15h,profile:free_100_rewards:15h,bot:free_100_rewards:15h,3,3,100,25.87,REVIEW
profile_vs_bot,15h,bot:free_100_rewards:15h,profile:free_100_rewards:15h,3,0,0,25.87,REVIEW
profile_vs_bot,15h,profile:free_100_rewards:15h,bot:spender_light:15h,3,3,100,27.2,REVIEW
profile_vs_bot,15h,bot:spender_light:15h,profile:free_100_rewards:15h,3,0,0,27.2,REVIEW
profile_vs_bot,15h,profile:spender_light:15h,bot:free_50_rewards:20h,3,3,100,22.87,REVIEW
profile_vs_bot,20h,bot:free_50_rewards:20h,profile:spender_light:15h,3,0,0,23.2,REVIEW
profile_vs_bot,15h,profile:spender_light:15h,bot:free_100_rewards:15h,3,3,100,22.87,REVIEW
profile_vs_bot,15h,bot:free_100_rewards:15h,profile:spender_light:15h,3,0,0,23.2,REVIEW
profile_vs_bot,15h,profile:spender_light:15h,bot:spender_light:15h,3,3,100,22.53,REVIEW
profile_vs_bot,15h,bot:spender_light:15h,profile:spender_light:15h,3,0,0,22.87,REVIEW
profile_vs_bot,15h,profile:max_spender:15h,bot:max_spender:15h,3,3,100,22.37,REVIEW
profile_vs_bot,15h,bot:max_spender:15h,profile:max_spender:15h,3,0,0,22.37,REVIEW
profile_vs_bot,20h,profile:freemium_basic:20h,bot:freemium_basic:20h,3,3,100,25.2,REVIEW
profile_vs_bot,20h,bot:freemium_basic:20h,profile:freemium_basic:20h,3,0,0,25.87,REVIEW
profile_vs_profile,20h,profile:free_100_rewards:20h,profile:spender_light:20h,1,0,0,28.7,REVIEW
profile_vs_profile,20h,profile:spender_light:20h,profile:free_100_rewards:20h,1,1,100,28.7,REVIEW
profile_vs_bot,20h,profile:free_100_rewards:20h,bot:free_100_rewards:20h,3,3,100,26.37,REVIEW
profile_vs_bot,20h,bot:free_100_rewards:20h,profile:free_100_rewards:20h,3,0,0,26.37,REVIEW
profile_vs_bot,20h,profile:free_100_rewards:20h,bot:spender_light:20h,3,3,100,27.7,REVIEW
profile_vs_bot,20h,bot:spender_light:20h,profile:free_100_rewards:20h,3,1,33.33,27.7,REVIEW
profile_vs_bot,20h,profile:spender_light:20h,bot:free_100_rewards:20h,3,3,100,23.2,REVIEW
profile_vs_bot,20h,bot:free_100_rewards:20h,profile:spender_light:20h,3,0,0,23.2,REVIEW
profile_vs_bot,20h,profile:spender_light:20h,bot:spender_light:20h,3,3,100,22.87,REVIEW
profile_vs_bot,20h,bot:spender_light:20h,profile:spender_light:20h,3,0,0,23.2,REVIEW
profile_vs_archetype,20h,archetype:starter_instrument,profile:max_spender:20h,2,0,0,17.2,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:starter_instrument,2,2,100,17.2,REVIEW
profile_vs_archetype,20h,archetype:mental_controller,profile:max_spender:20h,3,0,0,21.03,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:mental_controller,3,3,100,20.87,REVIEW
profile_vs_archetype,20h,archetype:elemental_mixer,profile:max_spender:20h,3,0,0,18.87,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:elemental_mixer,3,3,100,18.87,REVIEW
profile_vs_archetype,20h,archetype:familiar_handler,profile:max_spender:20h,2,0,0,20.2,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:familiar_handler,2,2,100,19.7,REVIEW
profile_vs_archetype,20h,archetype:summoner,profile:max_spender:20h,4,2,50,17.7,PASS
profile_vs_archetype,20h,profile:max_spender:20h,archetype:summoner,4,2,50,17.7,PASS
profile_vs_archetype,20h,archetype:defensive_occultist,profile:max_spender:20h,4,0,0,31.95,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:defensive_occultist,4,1,25,32.08,REVIEW
profile_vs_archetype,20h,archetype:dot_pressure,profile:max_spender:20h,4,0,0,18.08,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:dot_pressure,4,4,100,18.08,REVIEW
profile_vs_archetype,20h,archetype:funeral_burst,profile:max_spender:20h,4,0,0,18.58,REVIEW
profile_vs_archetype,20h,profile:max_spender:20h,archetype:funeral_burst,4,4,100,18.58,REVIEW
profile_vs_bot,20h,profile:max_spender:20h,bot:max_spender:20h,3,3,100,18.53,REVIEW
profile_vs_bot,20h,bot:max_spender:20h,profile:max_spender:20h,3,0,0,18.53,REVIEW
